,ID,file,dataset,area,genotype,node,base_x,base_y,tip_x,tip_y
1,1001,1001-27.jpg,apple,14.717,Malus domestica,NA,7580,5841,7289.167,2433.5
2,1001,1001-29.jpg,apple,13.672,Malus domestica,NA,1232,5824,639.5,2543.5
3,1001,1001-30.jpg,apple,15.943,Malus domestica,NA,5648,5968,4959.5,2879.5
4,1001,1001-31.jpg,apple,17.978,Malus domestica,NA,2272,4800,2895.5,8703.5
5,1001,1001-32.jpg,apple,15.613,Malus domestica,NA,6928,4976,6975.5,8319.5
6,1001,1001-33.jpg,apple,15.08,Malus domestica,NA,4417,5252,4800.5,8485.5
7,1001,1001-34.jpg,apple,12.194,Malus domestica,NA,768,5522,803.5,8761.5
8,1010,1010-682.jpg,apple,13.813,Malus domestica,NA,5141,348,7948.5,1361.5
9,1010,1010-683.jpg,apple,11.039,Malus domestica,NA,5744,1620,2515.5,1619.5
10,1010,1010-685.jpg,apple,16.142,Malus domestica,NA,972,5532,755.5,2045.5
11,1010,1010-688.jpg,apple,18.152,Malus domestica,NA,4579,5064,5602.5,8775.5
12,1010,1010-689.jpg,apple,17.927,Malus domestica,NA,1758,5140,1043.5,8883.5
13,1010,1010-691.jpg,apple,16.274,Malus domestica,NA,3352,5810,3291.5,8857.5
14,1014,1014-2-693.jpg,apple,35.442,Malus domestica,NA,5443,5400,5346.5,631.5
15,1014,1014-2-694.jpg,apple,30.783,Malus domestica,NA,2624,5304,2695.5,711.5
16,1014,1014-2-695.jpg,apple,40.303,Malus domestica,NA,6595,3288,6594.5,8407.5
17,1014,1014-2-696.jpg,apple,38.054,Malus domestica,NA,1360,3840,823.5,8567.5
18,1014,1014-2-697.jpg,apple,31.55,Malus domestica,NA,4196,4020,3979.5,8595.5
19,1014,1014-699.jpg,apple,40.248,Malus domestica,NA,2440,5384,2855.5,367.5
20,1014,1014-701.jpg,apple,40.228,Malus domestica,NA,3839,3788,4182.5,8563.5
21,1014,1014-702.jpg,apple,31.277,Malus domestica,NA,1224,4084,975.5,8715.5
22,1014,1014-703.jpg,apple,30.632,Malus domestica,NA,6851,4328,6818.5,8735.5
23,1023,1023-706.jpg,apple,25.743,Malus domestica,NA,6348,2560,2131.5,687.5
24,1023,1023-707.jpg,apple,20.84,Malus domestica,NA,376,6176,1543.5,1583.5
25,1023,1023-708.jpg,apple,14.078,Malus domestica,NA,5939,5514,7498.5,2267.5
26,1023,1023-709.jpg,apple,15.542,Malus domestica,NA,2124,5844,3467.5,2627.5
27,1023,1023-710.jpg,apple,17.19,Malus domestica,NA,4191,6372,4826.5,2675.5
28,1023,1023-711.jpg,apple,23.022,Malus domestica,NA,3764,4408,2499.5,9047.5
29,1023,1023-712.jpg,apple,17.682,Malus domestica,NA,7043,4598,6616.5,8725.5
30,1029,1029-2-727.jpg,apple,26.936,Malus domestica,NA,1088,5908,1183.5,1203.5
31,1029,1029-2-728.jpg,apple,19.323,Malus domestica,NA,3965,5304,3988.5,1223.5
32,1029,1029-2-729.jpg,apple,21.551,Malus domestica,NA,5909,5342,6130.5,1417.5
33,1029,1029-2-730.jpg,apple,25.304,Malus domestica,NA,6665,4228,6466.5,8487.5
34,1029,1029-2-731.jpg,apple,26.468,Malus domestica,NA,2380,4294,2007.5,8705.5
35,1029,1029-2-732.jpg,apple,22.95,Malus domestica,NA,4913,4544,4528.5,8851.5
36,1029,1029-734.jpg,apple,20.439,Malus domestica,NA,3084,5166,3419.5,1187.5
37,1029,1029-735.jpg,apple,25.931,Malus domestica,NA,6233,5742,6052.5,1277.5
38,1029,1029-736.jpg,apple,26.248,Malus domestica,NA,1408,4062,1607.5,8461.5
39,1029,1029-737.jpg,apple,24.166,Malus domestica,NA,4385,4096,4822.5,8233.5
40,1031,1031-2-474.jpg,apple,21.687,Malus domestica,NA,3284,1248,6867.5,1191.5
41,1031,1031-2-475.jpg,apple,27.532,Malus domestica,NA,1840,5650,1655.5,1897.5
42,1031,1031-2-476.jpg,apple,25.171,Malus domestica,NA,3973,5982,3810.5,2069.5
43,1031,1031-2-477.jpg,apple,25.192,Malus domestica,NA,6426,5644,6557.5,2139.5
44,1031,1031-2-478.jpg,apple,20.187,Malus domestica,NA,1122,5080,905.5,8871.5
45,1031,1031-2-479.jpg,apple,19.421,Malus domestica,NA,3083,5120,2800.5,8629.5
46,1031,1031-483.jpg,apple,20.867,Malus domestica,NA,6288,6658,5291.5,3183.5
47,1031,1031-484.jpg,apple,17.626,Malus domestica,NA,2045,7936,3040.5,4593.5
48,1035,1035-740.jpg,apple,15.466,Malus domestica,NA,5917,1848,1739.5,2183.5
49,1035,1035-741.jpg,apple,16.136,Malus domestica,NA,588,5448,1331.5,2421.5
50,1035,1035-742.jpg,apple,13.187,Malus domestica,NA,3985,6220,5064.5,2703.5
51,1035,1035-744.jpg,apple,16.411,Malus domestica,NA,1800,6320,3279.5,2943.5
52,1035,1035-748.jpg,apple,14.983,Malus domestica,NA,2848,5558,3393.5,9145.5
53,1037,1037-2-531.jpg,apple,22.804,Malus domestica,NA,5769,5760,5204.5,1313.5
54,1037,1037-2-533.jpg,apple,24.416,Malus domestica,NA,6558,4142,6893.5,8245.5
55,1037,1037-2-534.jpg,apple,23.973,Malus domestica,NA,4161,4406,3590.5,8509.5
56,1037,1037-537.jpg,apple,21.617,Malus domestica,NA,4329,5490,4466.5,1095.5
57,1037,1037-538.jpg,apple,27.971,Malus domestica,NA,1722,3668,1025.5,8611.5
58,1037,1037-539.jpg,apple,29.931,Malus domestica,NA,5895,4022,5024.5,8947.5
59,1037,1037-540.jpg,apple,30.276,Malus domestica,NA,3615,4050,3146.5,8943.5
60,1037,1037-541.jpg,apple,22.862,Malus domestica,NA,7416,4222,7091.5,8671.5
61,1042,1042-287.jpg,apple,20.923,Malus domestica,NA,3273,8117,4136.5,3542.5
62,1042,1042-289.jpg,apple,14.113,Malus domestica,NA,4286,7874,3799.5,3811.5
63,1042,1042-291.jpg,apple,14.097,Malus domestica,NA,4404,7576,3855.5,3881.5
64,1042,1042-293.jpg,apple,11.604,Malus domestica,NA,3966,7460,4133.5,4381.5
65,1042,1042-295.jpg,apple,12.347,Malus domestica,NA,4048,7708,4023.5,4223.5
66,1042,1042-297.jpg,apple,10.047,Malus domestica,NA,4296,4238,4523.5,7463.5
67,1042,1042-299.jpg,apple,14.55,Malus domestica,NA,5310,4108,3179.5,7499.5
68,1042,1042-303.jpg,apple,16.834,Malus domestica,NA,3960,3736,4697.5,7861.5
69,1042,1042-305.jpg,apple,10.922,Malus domestica,NA,4456,4342,3839.5,7401.5
70,1042,1042-307.jpg,apple,12.749,Malus domestica,NA,3958,3993,3549.5,7430.5
71,1044,1044-11.jpg,apple,17.22,Malus domestica,NA,4004,3728,4031.5,7949.5
72,1044,1044-13.jpg,apple,16.695,Malus domestica,NA,4478,3830,3677.5,7878.5
73,1044,1044-15.jpg,apple,21.194,Malus domestica,NA,4390,3632,3555.5,8075.5
74,1044,1044-17.jpg,apple,21.142,Malus domestica,NA,4394,3630,3547.5,8067.5
75,1044,1044-2-750.jpg,apple,16.091,Malus domestica,NA,5912,1838,6095.5,5907.5
76,1044,1044-2-751.jpg,apple,19.015,Malus domestica,NA,4078,7672,4149.5,3375.5
77,1044,1044-2-752.jpg,apple,18.175,Malus domestica,NA,1820,4086,1811.5,8084.5
78,1044,1044-5.jpg,apple,18.883,Malus domestica,NA,4044,7936,4031.5,3767.5
79,1044,1044-7.jpg,apple,18.324,Malus domestica,NA,3762,8181,4385.5,3530.5
80,1044,1044-9.jpg,apple,19.973,Malus domestica,NA,4160,8000,4623.5,3675.5
81,1046,1046-547.jpg,apple,16.522,Malus domestica,NA,4350,1380,7331.5,1049.5
82,1046,1046-548.jpg,apple,11.127,Malus domestica,NA,5501,2298,2452.5,1967.5
83,1046,1046-549.jpg,apple,15.114,Malus domestica,NA,1330,6078,1537.5,2795.5
84,1046,1046-550.jpg,apple,13.234,Malus domestica,NA,4607,5204,2666.5,3007.5
85,1046,1046-551.jpg,apple,14.313,Malus domestica,NA,5425,6014,5720.5,3027.5
86,1046,1046-552.jpg,apple,11.476,Malus domestica,NA,6918,6048,7217.5,3227.5
87,1046,1046-553.jpg,apple,17.831,Malus domestica,NA,412,5346,2003.5,8877.5
88,1052,1052-2-20.jpg,apple,26.906,Malus domestica,NA,5364,7876,3809.5,3727.5
89,1052,1052-2-22.jpg,apple,31.51,Malus domestica,NA,4538,8050,4189.5,3633.5
90,1052,1052-2-24.jpg,apple,24.235,Malus domestica,NA,3272,3412,4285.5,8273.5
91,1052,1052-2-26.jpg,apple,31.115,Malus domestica,NA,3962,3620,3409.5,8109.5
92,1052,1052-29.jpg,apple,26.147,Malus domestica,NA,4122,8374,4787.5,3337.5
93,1052,1052-31.jpg,apple,26.071,Malus domestica,NA,4534,8004,4437.5,3663.5
94,1052,1052-33.jpg,apple,22.528,Malus domestica,NA,4218,8048,4019.5,3637.5
95,1052,1052-35.jpg,apple,26.111,Malus domestica,NA,4189,3342,3948.5,8387.5
96,1052,1052-37.jpg,apple,30.171,Malus domestica,NA,3774,3292,3893.5,8399.5
97,1052,1052-39.jpg,apple,28.498,Malus domestica,NA,3432,3356,3895.5,8339.5
98,1055,1055-2-567.jpg,apple,17.824,Malus domestica,NA,6552,5422,6101.5,1591.5
99,1055,1055-2-568.jpg,apple,17.838,Malus domestica,NA,3243,5872,3146.5,1955.5
100,1055,1055-2-569.jpg,apple,21.485,Malus domestica,NA,4773,4188,5150.5,7899.5
101,1055,1055-2-570.jpg,apple,18.448,Malus domestica,NA,2064,4536,1991.5,8255.5
102,1055,1055-572.jpg,apple,19.608,Malus domestica,NA,4779,4598,4286.5,653.5
103,1055,1055-573.jpg,apple,18.062,Malus domestica,NA,6627,4472,6410.5,971.5
104,1055,1055-574.jpg,apple,17.736,Malus domestica,NA,1866,5300,2033.5,1729.5
105,1055,1055-575.jpg,apple,23.321,Malus domestica,NA,7062,4478,6725.5,8421.5
106,1055,1055-576.jpg,apple,22.37,Malus domestica,NA,4167,4654,4196.5,8343.5
107,1064,1064-591.jpg,apple,13.72,Malus domestica,NA,4089,1146,7634.5,1151.5
108,1064,1064-592.jpg,apple,13.945,Malus domestica,NA,6281,2430,2758.5,2015.5
109,1064,1064-593.jpg,apple,12.876,Malus domestica,NA,7164,6204,7085.5,2747.5
110,1064,1064-594.jpg,apple,14.028,Malus domestica,NA,1504,5768,1267.5,2979.5
111,1064,1064-595.jpg,apple,14.683,Malus domestica,NA,5283,6604,5420.5,3159.5
112,1064,1064-596.jpg,apple,18.619,Malus domestica,NA,3731,6690,3388.5,3269.5
113,1064,1064-597.jpg,apple,13.464,Malus domestica,NA,4781,5426,4652.5,8875.5
114,1064,1064-598.jpg,apple,13.023,Malus domestica,NA,2586,5460,2593.5,8959.5
115,1064,1064-599.jpg,apple,15.295,Malus domestica,NA,6865,5576,6424.5,9037.5
116,1067,1067-2-602.jpg,apple,23.577,Malus domestica,NA,6192,5742,6431.5,1289.5
117,1067,1067-2-603.jpg,apple,26.848,Malus domestica,NA,4007,6162,4204.5,1393.5
118,1067,1067-2-604.jpg,apple,28.695,Malus domestica,NA,2046,5434,1331.5,1483.5
119,1067,1067-2-605.jpg,apple,22.768,Malus domestica,NA,3466,4552,3117.5,8873.5
120,1067,1067-2-606.jpg,apple,22.124,Malus domestica,NA,7110,4628,7379.5,8771.5
121,1067,1067-2-607.jpg,apple,24.916,Malus domestica,NA,1132,4666,963.5,8657.5
122,1067,1067-2-608.jpg,apple,24.193,Malus domestica,NA,5117.5,4911.5,4865.5,8701.5
123,1067,1067-610.jpg,apple,29.067,Malus domestica,NA,6396,3088,5975.5,7777.5
124,1067,1067-611.jpg,apple,21.502,Malus domestica,NA,4133,3704,4208.5,7681.5
125,1067,1067-612.jpg,apple,26.726,Malus domestica,NA,1829,3762,1822.5,8257.5
126,1069,1069-614.jpg,apple,17.56,Malus domestica,NA,4074.5,1043.5,7680.5,1163.5
127,1069,1069-615.jpg,apple,15.123,Malus domestica,NA,6023,2310,2776.5,1589.5
128,1069,1069-616.jpg,apple,18.756,Malus domestica,NA,690,5632,1127.5,2127.5
129,1069,1069-617.jpg,apple,17.81,Malus domestica,NA,3715,5562,5358.5,2429.5
130,1069,1069-618.jpg,apple,15.324,Malus domestica,NA,2581,6116,2712.5,2557.5
131,1069,1069-619.jpg,apple,13.582,Malus domestica,NA,5550,5740,7349.5,3099.5
132,1069,1069-620.jpg,apple,21.803,Malus domestica,NA,1470,4718,1253.5,8897.5
133,1071,1071-44.jpg,apple,12.812,Malus domestica,NA,4204,7114,4379.5,4493.5
134,1071,1071-46.jpg,apple,12.135,Malus domestica,NA,3840,7400,4541.5,4273.5
135,1071,1071-48.jpg,apple,16.291,Malus domestica,NA,4326,7324,4061.5,4371.5
136,1071,1071-50.jpg,apple,18.203,Malus domestica,NA,4006,7464,4299.5,4337.5
137,1071,1071-52.jpg,apple,17.998,Malus domestica,NA,3692,7864,4093.5,3819.5
138,1071,1071-58.jpg,apple,14.414,Malus domestica,NA,4054,4116,3951.5,7431.5
139,1071,1071-60.jpg,apple,14.089,Malus domestica,NA,4186,4248,4221.5,7447.5
140,1076,1076-2-761.jpg,apple,22.79,Malus domestica,NA,4958,5054,5329.5,965.5
141,1076,1076-2-763.jpg,apple,26.429,Malus domestica,NA,1244,3362,817.5,8233.5
142,1076,1076-2-765.jpg,apple,24.351,Malus domestica,NA,6571,4472,6082.5,8767.5
143,1076,1076-767.jpg,apple,21.205,Malus domestica,NA,2558,5144,2695.5,751.5
144,1076,1076-768.jpg,apple,20.598,Malus domestica,NA,4808,5416,5539.5,1319.5
145,1076,1076-769.jpg,apple,23.553,Malus domestica,NA,6719,3760,5608.5,8181.5
146,1076,1076-770.jpg,apple,24.744,Malus domestica,NA,3976,3972,3675.5,8165.5
147,1076,1076-771.jpg,apple,24.671,Malus domestica,NA,1612,4164,1679.5,8469.5
148,1079,1079-2-645.jpg,apple,33.74,Malus domestica,NA,5833,5338,5988.5,619.5
149,1079,1079-2-646.jpg,apple,22.874,Malus domestica,NA,1945,4754,3594.5,805.5
150,1079,1079-2-647.jpg,apple,34.875,Malus domestica,NA,7069,3372,7044.5,8523.5
151,1079,1079-2-648.jpg,apple,29.758,Malus domestica,NA,3574.5,3514.5,2764.5,8789.5
152,1079,1079-2-649.jpg,apple,22.372,Malus domestica,NA,1231.5,4153.5,1123.5,8353.5
153,1079,1079-2-650.jpg,apple,22.64,Malus domestica,NA,5026,4448,4969.5,8475.5
154,1079,1079-652.jpg,apple,28.123,Malus domestica,NA,3434,5446,2945.5,1057.5
155,1079,1079-653.jpg,apple,26.669,Malus domestica,NA,6543,5300,6416.5,1253.5
156,1079,1079-654.jpg,apple,29.181,Malus domestica,NA,4676.5,3317.5,4584.5,8017.5
157,1079,1079-655.jpg,apple,25.521,Malus domestica,NA,1652,3400,1611.5,8229.5
158,1083,1083-657.jpg,apple,13.343,Malus domestica,NA,4083,210,7292.5,2003.5
159,1083,1083-658.jpg,apple,11.532,Malus domestica,NA,5462,1442,2557.5,1825.5
160,1083,1083-659.jpg,apple,16.625,Malus domestica,NA,878,5374,1257.5,2031.5
161,1083,1083-662.jpg,apple,15.183,Malus domestica,NA,2363,5882,3196.5,2545.5
162,1083,1083-664.jpg,apple,16.401,Malus domestica,NA,5713,4970,4292.5,8719.5
163,1083,1083-665.jpg,apple,20.396,Malus domestica,NA,3235,5028,3108.5,8869.5
164,1083,1083-666.jpg,apple,13.428,Malus domestica,NA,7040,5306,6303.5,8569.5
165,1085,1085-2-67.jpg,apple,23.513,Malus domestica,NA,4220,8066,4075.5,3585.5
166,1085,1085-2-69.jpg,apple,24.357,Malus domestica,NA,3242,8104,4297.5,3563.5
167,1085,1085-2-71.jpg,apple,23.133,Malus domestica,NA,4074,7962,4553.5,3717.5
168,1085,1085-2-73.jpg,apple,27.194,Malus domestica,NA,4228,3560,4279.5,8129.5
169,1085,1085-2-75.jpg,apple,21.337,Malus domestica,NA,4747,3741,4125.5,7948.5
170,1085,1085-2-77.jpg,apple,19.198,Malus domestica,NA,4038,3494,4005.5,8201.5
171,1085,1085-80.jpg,apple,18.939,Malus domestica,NA,4442,3698,3733.5,8005.5
172,1085,1085-82.jpg,apple,19.448,Malus domestica,NA,4428.5,3851.5,3996.5,7843.5
173,1085,1085-84.jpg,apple,17.473,Malus domestica,NA,4001.5,3537.5,4469.5,8159.5
174,1085,1085-86.jpg,apple,19.04,Malus domestica,NA,2016,5153,6293.5,5926.5
175,1089,1089-783.jpg,apple,10.415,Malus domestica,NA,4769,1992,7378.5,767.5
176,1089,1089-784.jpg,apple,12.121,Malus domestica,NA,5702,786,2659.5,1457.5
177,1089,1089-785.jpg,apple,11.23,Malus domestica,NA,7159,5308,7222.5,2321.5
178,1089,1089-786.jpg,apple,13.664,Malus domestica,NA,484,5764,803.5,2427.5
179,1089,1089-787.jpg,apple,15.474,Malus domestica,NA,4776,5830,5411.5,2425.5
180,1089,1089-790.jpg,apple,11.112,Malus domestica,NA,5438,5450,5393.5,8371.5
181,1089,1089-791.jpg,apple,10.789,Malus domestica,NA,6763,5630,6902.5,8585.5
182,1089,1089-792.jpg,apple,13.869,Malus domestica,NA,1458,5820,1157.5,8687.5
183,1091,1091-794.jpg,apple,14.73,Malus domestica,NA,4666.5,629.5,7654.5,1205.5
184,1091,1091-795.jpg,apple,15.028,Malus domestica,NA,5616,2010,2487.5,1159.5
185,1091,1091-796.jpg,apple,15.628,Malus domestica,NA,6995,5708,6892.5,2101.5
186,1091,1091-797.jpg,apple,16.943,Malus domestica,NA,3550,6062,3231.5,2177.5
187,1091,1091-798.jpg,apple,16.764,Malus domestica,NA,1374,5828,1553.5,2541.5
188,1091,1091-800.jpg,apple,21.781,Malus domestica,NA,4526,4492,4735.5,8793.5
189,1091,1091-801.jpg,apple,18.89,Malus domestica,NA,2944,5162,2799.5,8744.5
190,1091,1091-802.jpg,apple,13.344,Malus domestica,NA,6767,5270,6598.5,8497.5
191,1097,1097-101.jpg,apple,14.575,Malus domestica,NA,4476,4090,3723.5,7613.5
192,1097,1097-103.jpg,apple,21.107,Malus domestica,NA,4856,3786,3811.5,7897.5
193,1097,1097-105.jpg,apple,22.482,Malus domestica,NA,4040,3916,4763.5,7763.5
194,1097,1097-107.jpg,apple,18.474,Malus domestica,NA,3204,4184,5043.5,7517.5
195,1097,1097-91.jpg,apple,16.785,Malus domestica,NA,5847.5,7211.5,2368.5,4729.5
196,1097,1097-95.jpg,apple,13.759,Malus domestica,NA,3988,7506,4377.5,4189.5
197,1097,1097-97.jpg,apple,18.149,Malus domestica,NA,5090,7340,3175.5,4345.5
198,1097,1097-99.jpg,apple,18.041,Malus domestica,NA,4862,7688,3597.5,3997.5
199,1100,1100-677.jpg,apple,13.713,Malus domestica,NA,6074,832,2387.5,1034.5
200,1100,1100-678.jpg,apple,15.455,Malus domestica,NA,4070,1834,8015.5,1662.5
201,1100,1100-679.jpg,apple,11.327,Malus domestica,NA,965,4935,918.5,1659.5
202,1100,1100-680.jpg,apple,16.189,Malus domestica,NA,3171,5439,2380.5,2055.5
203,1100,1100-681.jpg,apple,16.155,Malus domestica,NA,4912.5,5998.5,4648.5,2142.5
204,1100,1100-682.jpg,apple,14.229,Malus domestica,NA,6230,6355,6568.5,2715.5
205,1100,1100-683.jpg,apple,19.375,Malus domestica,NA,1715,4415,1399.5,8859.5
206,1100,1100-684.jpg,apple,14.857,Malus domestica,NA,4058,4974,3569.5,8749.5
207,1100,1100-685.jpg,apple,13.997,Malus domestica,NA,5739,5168,5348.5,8485.5
208,1100,1100-686.jpg,apple,13.094,Malus domestica,NA,7124.5,5401.5,7013.5,8840.5
209,1104,1104-805.jpg,apple,17.489,Malus domestica,NA,3837,357,7630.5,1502.5
210,1104,1104-806.jpg,apple,16.403,Malus domestica,NA,5732,1676,1956.5,1330.5
211,1104,1104-807.jpg,apple,20.877,Malus domestica,NA,807,5518,1629.5,1859.5
212,1104,1104-810.jpg,apple,17.713,Malus domestica,NA,5804,5517,7141.5,2605.5
213,1104,1104-811.jpg,apple,23.049,Malus domestica,NA,7150,4887,6786.5,8905.5
214,1104,1104-812.jpg,apple,23.169,Malus domestica,NA,3336.5,5139.5,2860.5,9021.5
215,1104,1104-813.jpg,apple,20.301,Malus domestica,NA,1177,5320,1044.5,8986.5
216,1104,1104-814.jpg,apple,17.042,Malus domestica,NA,5064,5756,4886.5,8850.5
217,1106,1106-181.jpg,apple,14.68,Malus domestica,NA,3899.5,7777.5,4154.5,3900.5
218,1106,1106-183.jpg,apple,17.131,Malus domestica,NA,4480,7982,3799.5,3715.5
219,1106,1106-185.jpg,apple,19.288,Malus domestica,NA,4163.5,8097.5,3695.5,3581.5
220,1106,1106-189.jpg,apple,14.783,Malus domestica,NA,4411.5,4055.5,3859.5,7633.5
221,1106,1106-191.jpg,apple,15.561,Malus domestica,NA,4119.5,3547.5,3561.5,8141.5
222,1106,1106-193.jpg,apple,17.865,Malus domestica,NA,4042,3826,3879.5,7866.5
223,1106,1106-2-174.jpg,apple,15.369,Malus domestica,NA,3656,3782,4399.5,7907.5
